OBJECTID,Station_Number,Station_Name,Province,Water_Flow,Sampling_Freq,Drainage_Area_sq_km,Station_Water_Quantity,Symbol,Year,Latitude,Longitude,Historical_Water_Quantity_Data,Realtime_Water_Quantity_Data,Drainage_Region_ID,Drainage_Region_Water_Quantity,Data_Access_Page,geometry.x,geometry.y
11,01DG003,Beaverbank River near Kinsac,Nova Scotia,Natural,Yearly,96.9,Normal,3,2013,44.85111,-63.66389,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01DG003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01DG003,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=11,-7087031.8167,5598112.179399997
12,01DL001,Kelley River (Mill Creek) at Eight Mile Ford,Nova Scotia,Natural,Yearly,63.2,Normal,3,2013,45.58681,-64.45069,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01DL001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01DL001,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=12,-7174617.9921,5714380.675399996
13,01EC001,Roseway River at Lower Ohio,Nova Scotia,Natural,Yearly,495,Normal,3,2013,43.83736,-65.36911,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01EC001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01EC001,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=13,-7276856.038799999,5440307.668799996
14,01EO001,St. Marys River at Stillwater,Nova Scotia,Natural,Yearly,1350,Normal,3,2013,45.17439,-61.97992,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01EO001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01EO001,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=14,-6899573.1338,5649017.5309000015
15,01FB001,Northeast Margaree River at Margaree Valley,Nova Scotia,Natural,Yearly,368,Normal,3,2013,46.36897,-60.97528,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01FB001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01FB001,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=15,-6787737.1206,5839675.362300001
16,01FC002,Cheticamp River above Robert Brook,Nova Scotia,Regulated,Yearly,190,Normal,9,2013,46.64158,-60.94611,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01FC002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01FC002,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=16,-6784489.931,5883765.783500001
17,02AB006,Kaministiquia River at Kaministiquia,Ontario,Regulated,Yearly,6466.65,Normal,9,2013,48.53231,-89.59636,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02AB006,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02AB006,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=17,-9973821.1721,6195873.5869999975
18,02AB008,Neebing River near Thunder Bay,Ontario,Natural,Yearly,187,Normal,3,2013,48.38339,-89.30656,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02AB008,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02AB008,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=18,-9941560.7837,6170875.933300003
19,02AB017,Whitefish River at Nolalu,Ontario,Natural,Yearly,225.81,Normal,3,2013,48.29211,-89.80986,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02AB017,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02AB017,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=19,-9997587.8834,6155589.846600004
20,02AC001,Wolf River at Highway No. 17,Ontario,Natural,Yearly,726.39,Normal,3,2013,48.82169,-88.53461,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02AC001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02AC001,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=20,-9855627.7028,6244659.8983
21,02AC002,Black Sturgeon River at Highway No. 17,Ontario,Natural,Yearly,2980,Normal,3,2013,48.90422,-88.37686,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02AC002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02AC002,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=21,-9838067.0531,6258625.130900003
22,02AD010,Blackwater River at Beardmore,Ontario,Natural,Yearly,651.91,Normal,3,2013,49.59761,-87.96544,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02AD010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02AD010,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=22,-9792267.9882,6376878.427199997
23,02BA003,Little Pic River near Coldwell,Ontario,Natural,Yearly,1324.17,Normal,3,2013,48.84911,-86.60722,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BA003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BA003,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=23,-9641071.6294,6249297.192699999
24,02BB003,Pic River near Marathon,Ontario,Natural,Yearly,4221.73,High,5,2013,48.77408,-86.29661,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BB003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BB003,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=24,-9606494.6824,6236614.076499999
25,02BB004,Cedar Creek near Hemlo,Ontario,Regulated,Yearly,210.02,High,11,2013,48.70633,-85.90942,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BB004,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BB004,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=25,-9563392.8887,6225177.851199999
26,02BC004,White River below White Lake,Ontario,Regulated,Yearly,4156.28,High,11,2013,48.6548,-85.74153,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BC004,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BC004,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=26,-9544703.4594,6216489.872599997
27,02BD002,Michipicoten River at Scott Falls,Ontario,Regulated,Yearly,5311.43,High,11,2013,47.91083,-84.74333,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BD002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BD002,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=27,-9433584.3437,6092032.924000002
28,02BE002,Montreal River near Montreal River Harbour,Ontario,Regulated,Yearly,2880,Normal,9,2013,47.21389,-84.61944,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BE002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BE002,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=28,-9419792.972,5977056.514200002
29,02BF001,Batchawana River near Batchawana,Ontario,Natural,Yearly,1227.64,High,5,2013,47.00353,-84.51556,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF001,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=29,-9408229.1033,5942650.2773
30,02BF002,Goulais River near Searchmont,Ontario,Natural,Yearly,1138.67,High,5,2013,46.86094,-83.97181,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF002,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=30,-9347699.1302,5919405.4059000015
31,02BF004,Big Carp River near Sault Ste. Marie,Ontario,Natural,Yearly,50.98,High,5,2013,46.51589,-84.46518,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF004,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF004,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=31,-9402620.8274,5863409.908399999
32,02BF005,Norberg Creek (Site A) above Batchawana River,Ontario,Natural,Yearly,10.36,High,5,2013,47.06253,-84.43072,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF005,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=32,-9398784.7577,5952286.5392
33,02BF006,Norberg Creek (Site B) at outlet of Turkey Lake,Ontario,Natural,Yearly,8.03,High,5,2013,47.05053,-84.41278,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF006,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF006,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=33,-9396787.686,5950325.758199997
34,02BF007,Norberg Creek (Site C) at outlet of Little Turkey Lake,Ontario,Natural,Yearly,5.05,High,5,2013,47.04472,-84.41025,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF007,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF007,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=34,-9396506.0477,5949376.571900003
35,02BF008,Norberg Creek (Site D) below Wishart Lake,Ontario,Natural,Yearly,4.08,High,5,2013,47.04625,-84.40319,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF008,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF008,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=35,-9395720.1321,5949626.519699998
36,02BF009,Norberg Creek (Site E) below Batchawana Lake,Ontario,Natural,Yearly,2.04,High,5,2013,47.05778,-84.4,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF009,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF009,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=36,-9395365.023,5951510.343900003
37,02BF012,Norberg Creek (Site F) at outlet of Batchawana Lake,Ontario,Natural,Yearly,1.15,Normal,3,2013,47.06281,-84.39253,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02BF012,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02BF012,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=37,-9394533.4664,5952332.295999996
38,02CA002,Root River at Sault Ste. Marie,Ontario,Natural,Yearly,108.49,High,5,2013,46.56286,-84.28169,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CA002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CA002,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=38,-9382194.814,5871011.321400002
39,02CB003,Aubinadong River above Sesabic Creek,Ontario,Natural,Yearly,1451.66,High,5,2013,46.96842,-83.41686,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CB003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CB003,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=39,-9285922.3788,5936920.935199998
40,02CC005,Little White River near Bellingham,Ontario,Regulated,Yearly,1971.45,High,11,2013,46.39397,-83.28308,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CC005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CC005,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=40,-9271030.0573,5843709.5326000005
41,02CC010,Little White River below Boland River,Ontario,Regulated,Yearly,1205.15,High,11,2013,46.58114,-82.968,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CC010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CC010,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=41,-9235955.5121,5873971.453100003
42,02CD001,Serpent River at Highway No. 17,Ontario,Regulated,Yearly,1354.24,High,11,2013,46.21078,-82.51242,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CD001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CD001,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=42,-9185240.5785,5814191.441600002
43,02CD006,Serpent River above Quirke Lake,Ontario,Regulated,Yearly,157.08,Normal,9,2013,46.51122,-82.60069,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CD006,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CD006,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=43,-9195066.75,5862654.495899998
44,02CE002,Aux Sables River at Massey,Ontario,Regulated,Yearly,1338.6,High,11,2013,46.21494,-82.07081,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CE002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CE002,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=44,-9136080.7782,5814860.663699999
45,02CF007,Whitson River at Chelmsford,Ontario,Natural,Yearly,277.46,Normal,3,2013,46.58303,-81.19919,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CF007,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CF007,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=45,-9039052.4836,5874277.563000001
46,02CF008,Whitson River at Val Caron,Ontario,Natural,Yearly,179,Normal,3,2013,46.61017,-81.03297,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CF008,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CF008,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=46,-9020548.9579,5878674.4142
47,02CF010,Onaping River near Levack,Ontario,Regulated,Yearly,1647.69,High,11,2013,46.5995,-81.38197,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CF010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CF010,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=47,-9059399.4602,5876945.544200003
48,02CF012,Junction Creek below Kelley Lake,Ontario,Natural,Yearly,198.8,Normal,3,2013,46.42731,-81.09844,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CF012,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CF012,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=48,-9027837.0449,5849092.378799997
49,02CF013,Moose Creek at Levack,Ontario,Regulated,Yearly,40.6,Normal,9,2013,46.63594,-81.39147,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02CF013,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02CF013,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=49,-9060456.9953,5882851.356299996
50,02DB005,Wanapitei River near Wanup,Ontario,Regulated,Yearly,3154.02,Normal,9,2013,46.34567,-80.83956,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02DB005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02DB005,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=50,-8999018.6552,5835917.177599996
51,02DB007,Coniston Creek above Wanapitei River,Ontario,Natural,Yearly,59,Normal,3,2013,46.47528,-80.82153,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02DB007,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02DB007,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=51,-8997011.5647,5856843.0634
52,02DC004,Sturgeon River near Glen Afton,Ontario,Regulated,Yearly,3006.4,Normal,9,2013,46.63717,-80.26325,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02DC004,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02DC004,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=52,-8934864.1194,5883050.7711
53,02DC012,Sturgeon River at Upper Goose Falls,Ontario,Natural,Yearly,1200,Normal,3,2013,46.97142,-80.46325,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02DC012,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02DC012,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=53,-8957128.0176,5937410.336000003
54,02DD010,French River at Dry Pine Bay,Ontario,Regulated,Yearly,13900,Normal,9,2013,46.06858,-80.61164,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02DD010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02DD010,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=54,-8973646.7168,5791346.032499999
55,02DD014,Chippewa Creek at North Bay,Ontario,Natural,Yearly,35.64,Normal,3,2013,46.31178,-79.44836,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02DD014,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02DD014,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=55,-8844150.9796,5830453.7321000025
56,02DD015,Commanda Creek near Commanda,Ontario,Natural,Yearly,103.78,Normal,3,2013,45.94917,-79.60675,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02DD015,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02DD015,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=56,-8861782.8737,5772207.415299997
57,02EA005,North Magnetawan River near Burk's Falls,Ontario,Natural,Yearly,328.84,Normal,3,2013,45.66947,-79.37919,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02EA005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02EA005,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=57,-8836451.0104,5727538.8464
58,02EA010,North Magnetawan River above Pickerel Lake,Ontario,Natural,Yearly,155.06,Normal,3,2013,45.70377,-79.30879,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02EA010,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02EA010,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=58,-8828614.1182,5733004.570600003
59,02EA011,Magnetawan River near Britt,Ontario,Regulated,Yearly,2839.38,Normal,9,2013,45.77306,-80.48233,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02EA011,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02EA011,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=59,-8959251.9935,5744056.210000001
60,02EB004,North Branch Muskoka River at Port Sydney,Ontario,Regulated,Yearly,1410.11,Normal,9,2013,45.21286,-79.27528,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02EB004,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02EB004,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=60,-8824883.8021,5655094.416199997
61,02EB011,Moon River at Highway No. 400,Ontario,Regulated,Yearly,4789.76,Normal,9,2013,45.06506,-79.79014,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=02EB011,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=02EB011,19,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=61,-8882197.7551,5631769.6734
